Geneid,TR_AG_1,TR_AG_2,TR_AG_3,TR_SH_1,TR_SH_2,TR_SH_3
R3hdm4,1418,2315,1457,1863,1657,2013
Kiss1r,12,50,13,15,37,20
Arid3a,173,327,198,154,216,180
Wdr18,1931,2605,2164,3116,1562,3314
Grin3b,43,54,44,32,23,17
Tmem259,2763,3751,2828,2938,2672,3218
Cnn2,5343,6959,5852,7256,8133,7363
Abca7,1281,2087,1486,2028,2111,1967
Hmha1,917,1233,991,1821,941,2058
Polr2e,2414,3113,2531,3643,2140,4207
Gpx4,6082,9571,6366,7404,8048,8020
Sbno2,1595,2623,1566,2204,1913,2223
Stk11,2208,3104,2123,2813,2018,2810
Dos,493,700,473,540,638,558
Atp5d,3938,5472,4122,4787,4290,5444
Midn,2768,4745,2834,4955,3064,4821
Cirbp,457,484,543,521,500,630
1600002K03Rik,235,299,319,282,241,343
Efna2,222,242,235,190,348,214
Mum1,793,1392,773,1009,751,1076
Ndufs7,1272,1613,1296,1195,1156,1509
Gamt,260,487,263,277,492,321
Dazap1,2991,4467,2975,3208,3298,3432
Mir6911,0,0,0,0,0,0
Rps15,12309,15873,12443,13485,11136,15598
Apc2,139,393,123,205,438,207
2310011J03Rik,877,1268,1037,895,1113,1217
Pcsk4,114,100,92,107,52,115
Reep6,329,233,337,362,95,337
Adamtsl5,2120,1856,2124,1977,1725,2147
Plk5,0,0,0,1,0,3
Mex3d,847,1414,816,1330,1140,1305
Mbd3,4647,6105,4795,5050,4691,5708
Uqcr11,1306,1595,1329,1255,1573,1742
Tcf3,2095,4382,2217,3162,2874,3124
Onecut3,0,0,1,0,0,1
Atp8b3,31,21,19,39,22,23
Rexo1,1142,1999,1132,1900,1273,2006
Klf16,832,1299,966,917,784,1047
Abhd17a,2471,3017,2328,2275,2521,2612
Adat3,98,121,87,86,70,107
Scamp4,1379,2140,1595,1668,1737,1898
Mir6912,0,0,0,0,0,0
Csnk1g2,3445,5879,3551,4406,3856,4609
Btbd2,1198,1948,1257,1854,1432,1931
Mknk2,3914,6177,4185,6426,4836,5939
Mob3a,788,1488,819,979,1102,981
Izumo4,34,92,32,40,89,41
Ap3d1,3884,6508,4245,5351,4968,5064
