Gene	K70_1	K70_2	K70_3	K70MD_1	K70MD_2	K70MD_3	K70P10_1	K70P10_3
LOC107984005	0	0	0	17.73571516	15.30077139	13.10188323	4.010065279	6.070976932
LOC107984006	0	0	0	0	0	0	2.864332342	0
LOC107984007	0	0	0	0	0	2.183647204	0	0
LOC107984016	3.692574654	0.760362953	0	0	1.275064283	0	1.718599405	2.023658977
LOC107984018	1.846287327	0	0	0	0	0	0	0
LOC107984019	5.538861981	4.562177717	10.39090291	8.86785758	8.92544998	4.367294409	9.738729964	13.15378335
LOC107984021	0.923143663	0.760362953	0	1.477976263	0	0	0	1.011829489
LOC107984023	0	0	0	1.477976263	2.550128566	5.459118011	2.291465874	0
LOC107984026	0	0	1.039090291	4.43392879	1.275064283	0	4.582931748	0
LOC107984029	1.846287327	4.562177717	3.117270872	4.43392879	2.550128566	0	1.718599405	1.011829489
LOC107984031	2.76943099	3.041451812	1.039090291	5.911905053	3.825192848	7.642765215	4.010065279	8.094635909
LOC107984034	1.846287327	0.760362953	4.156361163	4.43392879	3.825192848	1.091823602	0	0
LOC107984035	41.54146486	71.47411757	76.89268152	57.64107427	56.10282844	40.39747328	51.55798216	39.46135006
LOC107984036	14.77029862	15.96762201	19.74271553	16.2577389	7.650385697	6.550941613	15.46739465	25.29573722
LOC107984037	4.615718317	6.082903623	0	2.955952527	10.20051426	2.183647204	2.291465874	1.011829489
LOC107984041	8.308292971	0	4.156361163	2.955952527	0	10.91823602	2.291465874	0
LOC107984043	56.31176347	79.83811006	65.46268832	69.46488438	54.82776416	67.69306333	30.9347893	53.6269629
LOC107984063	41.54146486	28.13342926	19.74271553	165.5333415	221.8611852	159.4062459	32.08052223	108.2657553
LOC107984079	0	0	0	0	0	0	0.572866468	0
LOC107984087	0	0	0	0	0	2.183647204	1.145732937	0
LOC107984088	3.692574654	3.041451812	5.195451454	4.43392879	2.550128566	10.91823602	9.165863496	15.17744233
LOC107984089	0	0	6.234541745	0	2.550128566	0	0	0
LOC107984097	0	0	0	0	1.275064283	0	0	0
LOC107984104	7.385149308	3.801814765	7.273632036	214.3065582	252.462728	181.242718	20.62319286	41.48500903
LOC107984109	1.846287327	0	0	2.955952527	0	3.275470807	0	0
LOC107984111	0	0	0	2.955952527	0	1.091823602	1.718599405	3.035488466
LOC107984112	0.923143663	2.281088859	0	0	0	4.367294409	0.572866468	0
LOC107984118	55.38861981	53.2254067	51.95451454	25.12559648	25.50128566	21.83647204	134.6236201	30.35488466
LOC107984120	7.385149308	6.082903623	5.195451454	25.12559648	10.20051426	13.10188323	5.155798216	2.023658977
LOC107984124	59.08119446	62.34976214	50.91542425	13.30178637	21.67609281	37.12200247	112.8546943	29.34305517
