	TR_AG_1	TR_AG_3	TR_SH_1	TR_SH_3
Lphn1	1981.559167	1769.108737	433.9590987	351.4673835
Lpl	605.2503616	591.2547622	2016.817106	1843.697475
Lrch2	303.1337946	289.575167	48.91145717	25.10481311
Lrp2	265.4963771	268.1596402	1010.489892	786.2827465
Lrp5	800.5580413	827.7566671	1771.219151	1552.481642
Lrrc32	204.4627272	233.7085753	26.01673253	24.10062058
Lrrk2	3.051682496	5.586659171	188.3611436	176.7378843
Ly75	396.7187244	374.3061644	1009.449222	913.8151971
Macc1	338.736757	343.579539	68.68417389	57.23897388
Maged2	2269.434549	2391.090125	1120.800838	1185.951371
Magi1	613.3881816	599.634751	1308.121312	1283.358046
Map1a	1509.565608	1629.442258	491.1959103	393.6434695
Map2	9.155047487	5.586659171	516.1719735	407.7021648
Map3k1	238.0312347	244.8818937	835.657449	668.7922212
Marcksl1	635.7671866	681.5724188	1922.1162	2087.716258
Masp1	14.24118498	11.17331834	178.9951198	185.775617
Mctp1	277.7031071	306.3351445	14.56937022	29.1215832
Mcts2	19.32732247	19.5533071	237.2726007	181.7588469
Medag	2512.551921	2477.683342	553.6360683	534.2304229
Mfsd6	674.4218315	635.9480356	28.09807114	26.10900563
Mlh3	1045.709868	1026.083068	477.6672093	418.7482826
Mmd	1817.78554	1851.977515	684.7604003	641.679023
Mmp13	2779.065526	2758.878521	659.7843371	656.7419109
Mn1	82.39542738	62.38436074	394.4136652	300.2535648
Msn	25706.35611	26123.21828	12533.82107	11030.05069
Nav2	272.6169696	278.4018487	869.999536	735.0689278
Ncam1	2436.259859	2453.474486	1050.035325	942.9367803
Ncapd2	4419.853481	4510.296171	9680.305842	9126.10166
Ndn	1283.741103	1225.340578	401.6983503	386.6141218
Ndrg2	955.1766211	978.5964647	143.6123636	154.6456487
Neto2	1200.328448	1155.507338	226.8659077	233.9768582
Nf2	3413.815485	3281.231153	1039.628632	843.5217204
Nid2	122.0672998	111.7331834	1984.556358	1902.944833
Nnmt	972.4694886	1037.256386	293.468743	359.5009237
Nov	1187.104491	1161.093998	4244.89008	4474.681888
Nrp2	4013.979709	4131.334457	1831.57797	1542.439717
Nt5e	637.8016416	668.5368808	43.70811066	54.22639631
Oas2	389.5981319	391.9972518	80.13153621	93.38990476
Oas3	1007.055224	986.0453436	344.4615388	344.4380358
Oasl1	1590.943808	1581.955655	4302.126892	4496.774124
Olr1	2266.382867	2248.630316	730.5498496	670.8006062
Osgin1	352.977942	351.0284179	809.6407165	842.5175278
P2rx3	394.6842694	430.1727562	108.2296073	120.5031029
Panx1	17.29286747	15.82886765	247.6792937	283.1822918
Parm1	70.1886974	64.24658046	585.8968167	485.0249892
Pax3	7.12059249	13.96664793	318.4448062	301.2577573
Pcdhb22	482.1658343	609.8769595	148.8157101	130.5450282
Pcsk9	476.0624693	471.1415901	43.70811066	42.17608602
Pdzd4	36.62018995	38.17550433	248.719963	242.0103983
Peg3	8308.714208	8523.379675	2849.352547	2226.294826
Peg3os	1286.792786	1313.796015	478.7078786	377.5763891
Peli2	31.53405245	25.13996627	304.9161053	258.0774787
Perp	9.155047487	9.311098618	737.8345347	713.9808847
Phactr2	18.31009497	12.1044282	263.2893333	252.0523236
Pkd1	4948.81178	5130.415338	2397.70207	2225.290634
Pknox2	901.2635637	943.21429	306.9974439	286.1948694
Pkp1	39.67187244	30.72662544	247.6792937	269.1235965
Plac8	758.8517139	758.8545374	26.01673253	39.16350845
Plau	3606.071482	3631.328461	829.4134332	801.3456344
Plekha6	155.6358073	163.8753357	604.6288641	469.9621014
Plod2	2965.218158	3062.420335	1070.848711	1096.578236
Plscr4	918.5564312	945.0765097	370.4782713	389.6266994
Plxnb3	20.34454997	24.20885641	209.1745296	227.951703
Plxnd1	1049.778778	1028.876397	479.7485479	406.6979723
Pmepa1	3435.177262	3404.137655	1489.19777	1596.666114
Popdc3	28.48236996	42.83105364	389.2103187	365.5260788
Postn	645.9394616	751.4056585	78.0501976	72.30186175
Ppapdc2	547.2683942	528.8704015	194.6051594	175.7336917
Prex2	117.9983898	137.8042595	1103.109459	838.5007578
Prkg2	1667.23587	1641.546686	609.8322106	568.3729687
Prl2c2	912.4530662	878.0365997	183.157797	142.5953384
Prrx2	17.29286747	26.07107613	170.6697654	241.0062058
Ptgfrn	3043.544676	3012.140403	1546.434582	1385.785683
Ptgs2	7426.777967	7733.798512	3394.663261	3055.757851
Ptk7	4038.393169	3920.903628	1536.027889	1464.1127
Ptprg	982.6417636	1035.394166	2849.352547	2609.896371
Ptprq	44.75800993	68.90212977	599.4255176	510.1298023
Ptx3	345.8573495	336.1306601	1122.882176	1259.257425
Reep5	5511.338587	5675.114608	2522.582387	2531.569354
Rftn2	392.6498144	364.063956	100.9449222	107.4486001
Rpia	372.3052645	303.5418149	885.6095755	884.6936139
Rsad2	308.219932	350.097308	3151.146645	2925.212823
Saa3	486.2347443	539.11261	50.99279577	64.26832155
Sdc1	5341.461595	5174.177502	1724.389032	1691.060211
Sema3c	3630.484942	3755.166073	8094.325826	7095.624376
Sema6a	10.17227499	3.724439447	448.5284689	358.4967312
Sepw1	2751.600383	2614.556492	1120.800838	1385.785683
Serpinf1	3890.895182	3984.219099	1411.147573	1352.64733
Sfrp2	17.29286747	14.89775779	998.00186	996.1589841
Sh2d4a	660.1806465	649.9146835	1300.836627	1337.584442
Sh3rf2	188.1870872	169.4619948	608.7915413	547.2849257
Sh3tc2	637.8016416	716.0234837	1554.759936	1482.188166
Shroom3	129.1878923	119.1820623	999.0425293	884.6936139
Slc16a2	183.1009497	213.2241584	27.05740184	18.07546544
Slc16a3	4299.820636	4293.347573	719.1024873	876.6600737
Slc24a3	250.2379646	243.9507838	1103.109459	1104.611777
Slc29a1	3197.146028	3463.728686	1487.116432	1689.051826
Slc38a4	21.36177747	18.62219724	762.8105979	653.7293333
Slc5a7	473.0107868	432.9660857	20.81338603	21.08804301
Slco2a1	745.6277564	772.8211853	1814.927262	1682.022478
Slco4a1	216.6694572	233.7085753	21.85405533	16.06708039
Slfn2	275.6686521	258.8485416	46.83011856	42.17608602
Slit2	4696.539361	4815.700205	924.1143396	847.5384905
Slit3	1344.774753	1328.693773	657.7029985	608.5406697
Smc4	2770.927706	2840.816188	6051.491988	5713.855463
Snhg18	861.5916912	907.8321153	401.6983503	355.4841536
Snhg4	1107.760746	1046.567485	268.4926798	336.4044956
Snx24	927.7114786	903.1765659	348.624216	403.6853948
Sod3	2640.722586	2508.409968	1101.028121	1192.980719
Soga2	72.22315239	76.35100867	326.7701606	308.2871049
Sp100	294.9959746	296.0929361	33.30141764	38.15931592
Spon2	6389.205918	6335.2715	1445.48966	1649.888317
Spp1	18442.33455	19363.36069	2338.38392	2518.514851
Spry4	522.8549342	521.4215226	169.6290961	186.7798095
Srgap1	98.67106736	105.2154144	679.5570538	575.4023164
Srgap3	129.1878923	106.1465242	469.3418549	417.7440901
Ssh3	676.4562865	662.9502216	183.157797	237.9936282
St3gal1	1989.696987	2041.923927	622.3202422	556.3226584
St8sia1	1665.201415	1768.177628	634.8082739	588.4568192
Stat1	4092.306227	4115.505589	1906.50616	1939.095764
Stc1	486.2347443	447.8638435	5.203346507	3.012577573
Stc2	603.2159066	569.8392354	55.15547297	94.39409728
Sv2a	1283.741103	1322.176004	420.4303978	447.8698658
Syn1	632.7155041	604.2903003	207.093191	155.6498413
Synpo	2274.520687	2192.763725	795.0713463	799.3372493
