Gene	K70_1	K70_2	K70_3	K70MD_1	K70MD_2	K70MD_3	K70P10_1	K70P10_3	NKO70_1	NKO70_2	NKO70_3
RFPL3	0	0	1.036854043	4.486017227	0	3.309237949	0.570907874	0	0.963114363	3.091369967	3.645072732
RFPL3S	0	0	1.036854043	2.990678151	0	5.515396582	0.570907874	3.085571222	0	1.030456656	3.645072732
RFPL4A	1.838125134	6.837947688	6.221124257	26.91610336	27.1145092	19.85542769	4.56726299	29.82718848	3.85245745	4.121826623	6.378877282
RFPL4AL1	0.919062567	0	1.036854043	1.495339076	2.58233421	2.206158633	0.570907874	2.057047482	0	0	0
RFPL4B	0	2.279315896	0	0	0	0	0	0	0	0	0
RFT1	1068.869765	972.5081156	1003.674713	1254.589485	1167.215063	1045.719192	506.395284	1030.580788	1545.798552	1538.471787	1499.036161
RFTN1	14.70500107	9.877035549	8.294832342	52.33686765	63.26718814	90.45250394	66.22531335	44.22652085	16.37294416	28.85278636	21.87043639
RFTN2	0	0	1.036854043	0	6.455835524	2.206158633	2.283631495	0	0.963114363	2.060913311	0
RFWD3	2106.491403	2038.468183	2089.260896	1840.762402	1799.886944	1941.419597	2352.711348	2179.441807	2464.609654	2339.136608	2448.577608
RFX1	281.2331455	306.188102	308.9825047	73.27161471	74.88769208	124.6479628	341.9738164	162.506751	211.8851598	229.7918342	242.3973367
RFX2	155.3215738	194.5016231	175.2283332	104.6737353	99.41986707	108.101773	230.646781	134.73661	98.23766498	106.1370355	132.1338865
RFX3	161.7550118	183.8648156	179.3757494	64.29958026	85.21702892	108.101773	147.8651393	94.62418415	156.9876411	172.0862615	193.1888548
RFX3-AS1	0	0	0	0	0	0	1.712723621	0	0	0	0
RFX4	0.919062567	1.519543931	1.036854043	10.46737353	20.65867368	20.95850701	3.425447242	5.142618704	5.778686176	2.060913311	8.201413648
RFX5	746.2788044	749.1351578	754.8297431	684.8652967	555.2018551	583.5289584	1128.684866	789.9062329	736.7824874	631.6699299	697.1201601
RFX6	0	0	0	5.981356303	9.038169734	1.103079316	2.283631495	4.114094963	3.85245745	3.091369967	1.822536366
RFX7	582.6856674	714.1856474	719.5767057	161.4966202	170.4340578	204.0696735	916.3071373	225.2466992	345.7580562	341.081153	443.7876052
RFX8	21.13843904	23.55293092	7.257978299	314.0212059	326.6652775	258.12056	73.64711571	158.3926561	63.56554793	60.79694268	71.99018646
RFXANK	1090.927267	1163.970651	1037.890897	2032.165804	2052.955697	1975.615056	888.9035594	1860.599447	1681.597677	1484.888041	1442.537534
RFXAP	87.31094386	78.25651243	100.5748421	43.3648332	40.02618025	39.71085539	102.7634173	43.19799711	91.49586445	86.55835907	91.12681831
RGCC	327.1862738	329.7410329	314.166775	598.1356303	643.0012182	484.2518199	105.0470488	261.2450302	651.0653091	567.7816173	545.8496417
RGL1	11.94781337	12.91612341	11.40539447	20.93474706	23.24100789	16.54618975	41.10536691	18.51342733	8.668029263	9.274109901	1.822536366
RGL2	295.019084	251.4845205	308.9825047	351.4046828	382.185463	351.8823019	406.4864061	443.2937323	366.9465721	331.8070431	353.572055
RGL3	0.919062567	1.519543931	2.073708086	2.990678151	1.291167105	0	0	1.028523741	0.963114363	7.213196589	0
RGL4	11.94781337	13.67589538	6.221124257	1.495339076	0	4.412317266	31.39993306	1.028523741	7.704914901	4.121826623	5.467609099
RGMA	72.60594279	81.29560029	58.0638264	20.93474706	19.36750657	28.68006223	118.7488377	44.22652085	48.15571813	63.88831265	46.47467734
RGMB	220.5750161	267.4397318	292.3928401	167.4779765	148.4842171	166.5649768	235.7849519	229.3607942	226.3318752	188.573568	223.2607049
RGMB-AS1	4.595312835	8.357491618	10.36854043	4.486017227	9.038169734	4.412317266	5.138170864	5.142618704	1.926228725	10.30456656	11.84648638
