EntrezID	K70_1	K70_2	K70_3	K70MD_1	K70MD_2	K70MD_3	K70P10_1	K70P10_2	K70P10_3	NKO70_1	NKO70_2	NKO70_3
SAA1	61.7948927	68.83670862	59.02970305	2375.608838	2527.279837	2409.258366	306.6980756	278.7150831	751.2864048	82.03156271	44.86880376	60.17635745
SAMD1	1471.669137	1504.238531	1581.996042	194.3397282	335.3609126	339.5907031	816.4800122	774.2085641	522.3128798	1280.492686	1214.662616	1436.710534
SAMD11	803.3336051	722.0032052	777.0455456	195.894446	155.6074634	175.531681	403.7993969	374.200806	273.2909815	566.2178597	548.0403887	515.2600607
SCD	27188.8021	27247.60309	27487.44954	1845.450059	2100.700756	2238.315749	9102.064704	8709.846346	4805.278494	12603.8495	12021.63449	14921.85614
SCEL	7.605525255	17.20917716	1.073267328	51.30568825	52.31630236	60.8050921	171.1114746	198.7135314	34.82085865	16.00615858	10.68304851	33.84920107
SCFD2	191.088822	157.2293004	194.2613864	46.64153477	73.77940076	65.39415566	74.60223462	76.1305088	81.24867019	246.0946881	213.6609703	212.4977622
SCIN	8.556215912	3.911176626	3.219801984	74.62645563	67.07218251	82.60314399	32.56446749	36.12973299	17.93801809	6.002309467	6.409829108	6.581789096
SEPTIN1	128.3432387	127.504358	111.6198021	13.99246043	2.6828873	28.68164722	38.48527976	52.25907808	43.26227893	93.03579673	40.59558435	76.1607024
SEPTIN3	70.35110861	78.22353253	78.34851495	27.98492086	30.85320396	43.59610377	162.8223375	220.6494408	99.18668828	32.01231716	38.45897465	31.9686899
SERPINB6	327.9882766	299.5961296	312.3207925	2243.457822	2127.529629	1969.855531	474.2570629	538.7201258	1127.984785	283.1089298	361.0870397	316.8661322
SERPINB7	204.3984912	144.7135352	151.3306933	4101.345624	4200.060069	3659.778185	364.1299547	390.9753249	869.4662887	332.1277905	329.0378942	306.5233208
SERPINB8	45.63315153	32.85388366	31.12475252	290.7322334	244.1427443	191.5934034	112.4954332	97.42124431	173.0491157	101.038876	92.94252206	89.32428059
SERTAD4	33.27417299	23.46705976	32.19801984	153.9170647	104.6326047	119.3156524	85.85177793	58.71081611	88.63491293	16.00615858	45.93710861	22.56613404
SERTM1	55.1400581	75.87682655	77.27524763	533.2682142	500.3584815	519.7114476	199.5313735	188.3907506	316.5532605	152.0585065	168.7921665	161.7239607
SFPQ	5674.672531	5641.481166	5954.487137	1337.05733	1334.736432	1685.333591	3075.269894	3203.933108	2268.6317	5244.017704	5127.863286	5609.564821
SH2D1B	0	0	0	13.99246043	20.12165475	10.325393	1.776243681	3.225869017	15.82766302	0	1.068304851	0
SH3TC1	11.40828788	21.12035378	13.95247527	68.40758433	40.24330951	50.47969911	56.24771658	58.71081611	60.14511949	14.00538876	12.81965822	2.820766756
SH3TC2	46.58384219	51.62753147	30.05148519	119.7132726	138.168696	161.7644903	210.7809169	218.0687456	97.07633321	56.02155502	64.09829108	47.95303484
SH3TC2-DT	0	0.782235325	0	63.74343085	61.70640791	63.09962388	10.65746209	7.096911837	13.71730795	2.000769822	3.204914554	3.761022341
SIRPB2	4.753453285	0.782235325	3.219801984	45.08681694	17.43876745	25.23984955	24.86741154	23.87143073	11.60695288	0	1.068304851	0
SLC16A12	37.07693562	30.50717769	37.56435649	287.6227977	261.5815118	211.0969235	103.6142147	94.8405491	117.1247064	35.01347189	51.27863286	49.83354601
SLC16A14	1200.7223	1094.34722	1155.908912	354.4756643	332.6780253	251.2512296	561.2930033	590.9792039	552.9130283	954.3672052	989.2502923	920.5102179
SLC18A3	0	0	1.073267328	9.328306954	17.43876745	36.71250844	3.552487363	9.677607051	10.55177535	1.000384911	3.204914554	0
SLC25A13	1998.351761	1964.975137	2137.948518	971.698641	999.3755194	999.2685891	732.4044779	714.8525742	1420.268962	2459.946496	2600.254008	2423.978899
SLC25A22	509.5701921	533.4844918	505.5089116	121.2679904	85.85239362	115.8738548	272.9494457	283.8764735	171.9939382	535.2059275	498.8983656	538.7664503
SLC29A2	595.1323512	633.6106135	575.2712879	93.28306954	107.315492	126.1992478	320.3159439	300.6509924	194.1526664	438.1685911	465.7809152	454.1434476
SLC38A5	28.52071971	34.41835431	37.56435649	125.9321439	130.1200341	105.5484618	60.98436639	76.7756826	149.83521	37.01424171	52.34693771	46.07252367
SLC44A1	4100.328803	3697.626383	3888.44753	1822.129292	1641.927028	1436.376893	1553.62114	1449.060362	2557.750345	3819.469591	3739.06698	3801.453331
SLC7A11	4397.894979	4505.675474	4286.629709	915.7287993	894.7429147	940.7580288	2203.134246	2025.845743	1598.593965	2213.851808	2117.380215	2086.427144
SLC7A7	9.506906569	12.5157652	5.366336641	219.2152134	234.7526388	217.9805189	43.22192958	39.35560201	88.63491293	3.001154733	2.136609703	1.88051117
SLC9A4	18.06312248	31.28941301	19.31881191	279.8492086	307.1905959	243.2203684	44.99817326	45.16216624	105.5177535	15.00577367	18.16118247	11.28306702
SLC9A8	409.7476731	382.5130741	354.1782183	62.18871303	38.90186586	78.01408044	156.9015252	191.6166196	92.85562307	289.1112393	276.6909565	319.686899
SLCO2A1	31.37279168	20.33811846	21.46534656	49.75097042	53.65774601	69.98321921	263.4761461	277.4247355	108.6832861	43.01655118	42.73219405	48.89329043
SLCO5A1	1.901381314	9.386823903	6.439603969	41.97738129	32.19464761	52.77423088	28.4198989	30.96834256	40.09674633	12.00461893	8.546438811	15.98434495
SMAGP	144.5049798	155.6648297	156.6970299	514.6116003	537.9189037	491.0298004	265.844471	232.2625692	424.181369	221.0850654	176.2703005	206.8562287
