GeneName,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
DEAF1,146.3714592,-2.106601035,0.226059435,-9.318792799,1.18E-20,7.99E-20
EDA,28.23776467,-2.106323833,0.523218275,-4.025707694,5.68E-05,0.000144685
NCOA6,348.9754232,-2.106263834,0.19237758,-10.94859304,6.75E-28,6.31E-27
MYO18A,192.498269,-2.104467759,0.208265751,-10.10472318,5.26E-24,4.14E-23
ACACA,858.0472507,-2.104149273,0.115518525,-18.21482119,3.94E-74,1.90E-72
CAPN10-DT,8.171266163,-2.103868398,0.899258992,-2.33955781,0.019306583,0.034853603
HNRNPU,4172.503325,-2.102531876,0.246202375,-8.539852123,1.34E-17,7.74E-17
LINC01000,39.60263593,-2.101744402,0.466323829,-4.507049119,6.57E-06,1.83E-05
BCL9,127.1519647,-2.101291404,0.27142899,-7.741587984,9.82E-15,4.90E-14
PHRF1,445.3895072,-2.100721617,0.167706598,-12.52617155,5.37E-36,6.97E-35
EHMT2,517.916164,-2.099832391,0.133120749,-15.77389251,4.71E-56,1.28E-54
FGD1,541.8431529,-2.098987538,0.139918795,-15.00146947,7.18E-51,1.63E-49
LTBP4,310.69638,-2.098333017,0.22661145,-9.259607195,2.05E-20,1.38E-19
SRRM1,833.5686802,-2.097359405,0.171496233,-12.22976956,2.16E-34,2.64E-33
RBM14,1056.022336,-2.097279084,0.125539528,-16.70612527,1.18E-62,3.92E-61
MID1IP1-AS1,45.63281223,-2.097202944,0.400069012,-5.242102941,1.59E-07,5.04E-07
TNK2,605.665716,-2.097083478,0.187323258,-11.19499791,4.31E-29,4.25E-28
COL3A1,114.1215275,-2.095308278,0.241371411,-8.680846973,3.93E-18,2.32E-17
RAD54L,453.1994342,-2.093173209,0.197015175,-10.62442633,2.29E-26,2.00E-25
EIF4G1,11058.42909,-2.092857522,0.257921854,-8.114308626,4.89E-16,2.60E-15
FERMT1,894.915985,-2.091740194,0.117320726,-17.82924693,4.19E-71,1.83E-69
SEMA3D,307.8784156,-2.091413205,0.160669668,-13.01685147,9.81E-39,1.39E-37
LOC107985541,7.943251623,-2.091352626,0.904581274,-2.311956578,0.020780076,0.037277641
