""	"TR_AG_1"	"TR_AG_3"	"TR_SH_1"	"TR_SH_3"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Alcam"	2275.53791417725	2178.79707660402	289.306065788372	246.027168442226	1247.41705625297	-3.05749824631137	0.121071629328719	-25.2536309560188	1.03319047837993e-140	1.03494274082638e-13
"Als2cl"	74.2576073915686	72.626569220134	413.145712654617	408.706357371371	242.184061659423	2.48451226412693	0.218255690916103	11.3834936156692	5.05339406166876e-30	0.000203568141570689
"Amot"	405.873771907341	411.550558914093	1015.69323816349	876.660073673727	677.444410664663	1.21067195905452	0.137172958867484	8.82587916051368	1.08603242912024e-18	0.00915924172221829
"Amotl2"	4965.08742024995	4799.87133756142	11253.7978253074	10888.4595404859	7976.80403090117	1.18118878629589	0.0700294416713577	16.8670313243266	7.86510770073033e-64	1.14783466461813e-09
"Angptl2"	801.575268829535	785.856723356322	100.944922235511	93.3899047556204	445.441704794247	-3.03053908465379	0.176778989084682	-17.1430954569045	7.07801963100371e-66	5.31512093597068e-10
"Angptl4"	2143.29833937034	2101.5149580749	957.415757285259	913.815197071124	1529.01106295041	-1.18177884999928	0.0983857283695821	-12.0116898007806	3.08476568314966e-33	6.4377261189222e-05
"Ank3"	281.772017088555	281.19517826257	743.037881197473	743.102467947947	512.276886124136	1.40046774637945	0.146525095204089	9.55786955421387	1.2020561153588e-21	0.00348827917206647
"Ano1"	92.5677023648321	94.0420960414556	953.253080079671	930.886469983442	517.68733711735	3.33548928344341	0.169771799453269	19.6468983316722	6.1455364392488e-86	3.00780234052667e-13
"Antxr2"	4400.52615857433	4447.91180980231	2232.23565149661	2027.46470646879	3277.03458158551	-1.05486118835556	0.0843206770122395	-12.5101128896586	6.57307477047854e-36	2.51326392312551e-05
"Apobec3"	157.670262269769	138.735369407692	535.944690219466	560.339428533722	348.172437607662	1.88855425462464	0.17997794279547	10.493253924848	9.27771318015488e-26	0.000877750285639008
"Apobr"	640.853324064222	621.981387680122	218.540553293374	234.981050675432	429.089078928288	-1.47698195896631	0.160092785416958	-9.22578712788053	2.81485779797171e-20	0.00541696813249373
"Appbp2"	568.630171669683	610.808069338563	1786.82919049869	1619.76254162167	1146.50749328215	1.5295367682602	0.113668249519824	13.4561478224704	2.83305525634583e-41	3.80602474213475e-06
"Arnt2"	281.772017088555	318.439572734434	1069.80804183614	964.024823283823	658.511113735737	1.75931559721763	0.141033274864409	12.4744717082479	1.02886298884367e-35	2.66332618724962e-05
