""	"TR_AG_1"	"TR_AG_2"	"TR_AG_3"	"TR_SH_1"	"TR_SH_2"	"TR_SH_3"
"Krt4"	0	0	0	0	0	1.06818057834019
"Krt40"	0	0	0	0	0	1.06818057834019
"Krt5"	0	0	0.992128390695025	0	0	0
"Krt6a"	0	0	0.992128390695025	0	0	0
"Krt7"	51.0639900804392	67.3686392759235	55.5591898789214	38.7403655059487	157.348019097337	51.272667760329
"Krt75"	0	0	1.98425678139005	1.10686758588425	0	0
"Krt76"	2.17293574810379	0	1.98425678139005	5.53433792942124	0.977316888803337	3.20454173502056
"Krt78"	6.51880724431138	1.56671254130055	9.92128390695025	3.32060275765274	3.90926755521335	2.13636115668037
"Krt79"	1.0864678740519	2.35006881195082	6.94489873486517	14.3892786164952	4.88658444401668	7.47726404838131
"Krt8"	29.3346325994012	72.8521331704754	30.7559801115458	101.831817901351	135.847047543664	113.22714130406
"Krt80"	484.564671827146	374.444297370831	436.536491905811	711.715857723571	450.543085738338	682.567389559379
"Krt82"	1.0864678740519	0	0	0	0	0
"Krt83"	1.0864678740519	0	0	0	0.977316888803337	0
"Krt86"	0	0	0	0	0	1.06818057834019
"Krtap1-4"	1.0864678740519	0.783356270650273	0	0	0	1.06818057834019
"Krtap1-5"	4.34587149620759	4.70013762390164	5.95277034417015	4.42747034353699	1.95463377760667	4.27272231336075
"Krtap4-16"	0	0	0	0	0.977316888803337	1.06818057834019
"Krtap4-2"	0	0	0.992128390695025	0	0	0
"Krtap4-6"	0	0	0	0	0.977316888803337	0
"Krtap4-9"	0	0.783356270650273	0	0	0.977316888803337	0
"Krtap5-2"	0	0	0	0	0.977316888803337	0
"Krtap5-5"	0	0	0.992128390695025	0	0	0
"Krtap9-5"	1.0864678740519	0	0	0	0	0
"Krtcap2"	1728.57038761657	1796.23592860108	1643.95674338166	1444.46219957894	1639.937739412	1961.17954183258
"Krtcap3"	74.9662833095809	60.318432840071	49.6064195347512	25.4579544753377	35.1834079969201	30.9772367718654
"Krtdap"	0	0	0	0	0	2.13636115668037
"Ksr1"	286.827518749701	651.752417181027	261.921895143487	436.105828838393	404.609191964581	411.249522660972
"Ksr2"	0	0.783356270650273	3.9685135627801	2.21373517176849	0.977316888803337	0
"Kti12"	930.016500188424	790.406477086126	949.466869895139	883.280333535629	530.683070620212	988.067034964673
"Ktn1"	2973.66257128004	3905.81436546226	2969.44027335021	5389.3382756704	3534.95518680167	4740.58540667375
"Kxd1"	673.610081912176	976.845269500891	665.718150156362	800.265264594311	673.371336385499	785.112725080037
"Kynu"	0	0	0	2.21373517176849	0.977316888803337	0
"L1cam"	4.34587149620759	12.5337003304044	1.98425678139005	4.42747034353699	8.79585199923003	7.47726404838131
"L2hgdh"	363.966737807386	305.508945553607	428.599464780251	301.067983360515	271.694095087328	312.976909453675
"L3hypdh"	97.7821086646707	105.753096537787	102.189224241588	123.969169619036	43.9792599961501	180.522517739492
"L3mbtl1"	0	0.783356270650273	0.992128390695025	2.21373517176849	3.90926755521335	1.06818057834019
"L3mbtl2"	1693.80341564691	1107.66576669949	1585.42116833065	2022.24707941052	1120.00515456862	1988.95223686943
"L3mbtl3"	178.180731344511	165.288173107208	126.992434008963	169.35074064029	152.461434653321	150.613461545966
"l7Rn6"	544.3204049	490.381025427071	574.442338212419	629.807656368137	525.796486176195	727.430973849667
"Lacc1"	189.04541008503	253.807431690689	206.362705264565	233.549060621576	248.238489756048	243.545171861563
"Lace1"	205.342428195809	224.039893405978	219.2603743436	305.495453704052	231.624102646391	233.931546656501
"Lactb"	244.455271661677	343.11004654482	235.134428594721	390.724257817139	631.346710166956	445.431301167858
"Lactb2"	1629.70181107785	1237.70290762743	1681.65762222807	1827.43838429489	1044.75175413077	1879.99781787873
"Lad1"	17.3834859848304	1.56671254130055	13.8897974697303	17.709881374148	0	16.0227086751028
"Lag3"	13.0376144886228	27.4174694727596	10.9134122976453	27.6716896471062	9.77316888803337	33.1135979285458
"Lage3"	496.515818441717	437.896155293503	495.072066956817	361.945700584149	459.338937737568	427.272231336075
"Lair1"	0	0	0	0	0	2.13636115668037
"Lama1"	0	7.05020643585246	0	14.3892786164952	4.88658444401668	5.34090289170093
"Lama2"	563.876826632935	373.66094110018	532.772945803228	65.3051875671706	323.491890193904	53.4090289170093
