""	"TR_AG_1"	"TR_AG_2"	"TR_AG_3"	"TR_SH_1"	"TR_SH_2"	"TR_SH_3"
"Fbxl7"	115.165594649501	188.788861226716	118.063278492708	358.625097826496	301.013601751428	323.658715237077
"Fgf14"	58.6692651988024	20.3672630369071	73.4175009114318	1.10686758588425	1.95463377760667	0
"Fhl1"	1002.8098477499	1266.68708964149	1013.95521529032	3240.90829146908	3123.50477661546	3381.85971102503
"Foxd1"	0	3.91678135325137	0.992128390695025	158.282064781447	120.20997732281	120.704405352441
"Gabra3"	232.504125047106	127.687072115995	263.906151924877	50.9159089506754	5.86390133282002	41.6590425552673
"Gm4961"	120.597934019761	64.2352141933224	107.149866195063	8.85494068707398	16.6143871096567	3.20454173502056
"Gspt2"	76.0527511836328	22.7173318488579	54.5670614882264	4.42747034353699	0.977316888803337	1.06818057834019
"Has2"	415.030727887825	529.548838959585	466.300343626662	226.907855106271	284.399214641771	175.181614847791
"Havcr2"	491.083479071458	398.728341760989	594.28490602632	88.5494068707398	104.572907101957	66.2271958570916
"Hgf"	136.894952130539	186.438792414765	172.630339980934	14.3892786164952	49.8431613289702	8.54544462672149
"Hlf"	85.8309620500999	271.041269644994	110.126251367148	33.2060275765274	31.2741404417068	11.7499863617421
"Hoxc12"	0	0	0	61.9845848095178	1.95463377760667	74.772640483813
"Hsh2d"	65.1880724431138	44.6513074270656	66.4726021765667	4.42747034353699	1.95463377760667	16.0227086751028
"Hspa1a"	345.496783948503	98.7028901019344	356.174092259514	50.9159089506754	16.6143871096567	74.772640483813
"Htatip2"	409.598388517565	567.149939950798	456.379059719711	17.709881374148	82.0946186594803	14.9545280967626
"Ifi27l2a"	834.407327271857	1450.77581324431	917.718761392898	308.816056461705	332.287742193134	400.56771687757
"Ifi47"	497.602286315769	133.170566010546	567.497439477554	57.5571144659809	38.1153586633301	60.8862929653906
"Ifitm3"	8322.34391523753	9109.65007139203	8606.71378927934	3779.9528057947	2442.31490511954	4962.76696696851
"Irf5"	195.564217329341	267.907844562393	170.646083199544	76.3738634260131	108.48217465717	82.2499045321944
"Itga3"	4671.81185842316	4698.57091136034	4828.68887751269	13548.0592512232	9999.90640623574	12635.5080611861
"Itih2"	492.169946945509	329.009633673115	508.961864426548	174.885078569711	125.096561766827	186.931601209533
"Klf5"	241.195868039521	277.308119810197	210.331218827345	821.295748726111	458.361620848765	684.70375071606
"Lama5"	3200.73435695689	3310.46359976805	2978.36942886646	5948.30640654194	12186.1642864888	5330.22108591753
"Ldhb"	17.3834859848304	17.233837954306	19.8425678139005	251.258941995724	198.395328427077	286.27239499517
"Lgals3bp"	5059.68088945969	12630.836507965	5234.46938930695	2059.88057733058	1273.44390611075	2033.81582115972
"Llgl2"	434.587149620759	596.134121964858	473.245242361527	1289.50073755515	928.45104436317	1120.52142667886
"Lrtm2"	10.864678740519	32.9009633673115	3.9685135627801	112.900493760193	106.527540879564	98.2726132072972
"Map3k1"	254.233482528144	310.992439448158	260.929766752792	888.81467146505	406.563825742188	711.408265174564
"Medag"	2683.57564890819	1609.01377991566	2640.05364763946	588.85355569042	1322.30975055091	568.272067676979
"Mpzl2"	13.0376144886228	20.3672630369071	8.92915551625522	67.5189227389391	49.8431613289702	65.1590152787514
"Naprt1"	255.319950402196	158.237966671355	221.244631124991	68.6257903248233	53.7524288841835	103.613516098998
"Ncald"	3.25940362215569	6.26685016520219	4.96064195347512	116.221096517846	16.6143871096567	126.045308244142
"Negr1"	29.3346325994012	32.9009633673115	38.693007237106	2.21373517176849	2.93195066641001	2.13636115668037
"Ngf"	399.820177651098	330.576346214415	423.638822826776	179.312548913248	121.187294211614	189.067962366213
"Nrk"	190.131877959082	6.26685016520219	155.764157339119	0	1.95463377760667	1.06818057834019
"Nrp2"	4287.20223100879	4939.06128644997	4402.07366951382	1948.08695115628	2243.91957669246	1640.72536833053
"Oas2"	416.117195761877	745.75516965906	417.686052482605	85.228804113087	5.86390133282002	99.3407937856373
"Pcolce2"	543.233937025949	498.214588133574	488.127168221952	181.526284085017	151.484117764517	189.067962366213
"Pdgfb"	14.1240823626747	7.05020643585246	8.92915551625522	64.1983199812863	37.1380417745268	49.1363066036486
"Pkp1"	42.372247088024	103.403027725836	32.7402368929358	263.434485440451	252.147757311261	286.27239499517
"Plekha6"	166.22958472994	294.541957764503	174.614596762324	643.090067398748	398.745290631761	499.908510663207
"Plod2"	3167.05385286128	3907.38107800356	3263.11027699594	1138.96674587489	1541.22873364286	1166.45319154748
"Plscr4"	981.080490268863	727.737975434104	1007.01031655545	394.044860574792	530.683070620212	414.454064395992
"Prl2c2"	974.561683024552	3021.4051358981	935.577072425408	194.808695115628	265.830193754508	151.681642124306
"Ptpn6"	36.9399077177645	57.1850077574699	55.5591898789214	203.663635802701	158.325335986141	174.11343426945
"Pyhin1"	31.507568347505	277.308119810197	32.7402368929358	5.53433792942124	8.79585199923003	2.13636115668037
"Rasl10b"	101.041512286826	144.13755379965	102.189224241588	243.510868894534	420.246262185435	296.954200778572
"Rasl11b"	21.7293574810379	28.2008257434098	20.8346962045955	83.0150689413185	85.0265693258903	63.022654122071
"Rps6ka1"	287.913986623753	292.191888952552	262.914023534182	674.082359803507	522.864535509785	618.476554858968
"Rspo1"	76.0527511836328	57.1850077574699	63.4962170044816	6.64120551530548	3.90926755521335	6.40908347004112
"Selp"	48.8910543323354	106.536452808437	49.6064195347512	204.770503388586	204.259229759897	202.954309884635
"Sema6a"	10.864678740519	32.9009633673115	3.9685135627801	477.059929516111	29.3195066641001	381.340466467447
"Serinc2"	81.4850905538923	100.269602643235	66.4726021765667	13.282411030611	29.3195066641001	11.7499863617421
"Serpinf1"	4155.73961824851	15215.9122011109	4245.31738378401	1500.91244645904	2870.3797024154	1438.83923902423
"Sh3rf2"	200.996556699601	207.589411722322	180.567367106495	647.517537742285	467.157472847995	582.158415195402
"Sh3tc2"	681.21535703054	603.18432840071	762.946732444474	1653.66017331107	1595.95847941585	1576.63453363012
"Slc16a3"	4592.49970361737	4595.95123990515	4574.70400949476	764.845501846015	1105.34540123657	932.521644890983
"Slco4a1"	231.417657173054	426.145811233749	249.024226064451	23.2442193035692	17.5917039984601	17.090889253443
"Slfn2"	294.432793868064	1175.81776224606	275.811692613217	49.8090413647911	86.0038862146936	44.8635842902878
"Slfn8"	151.019034493214	829.574290618639	178.583110325104	22.1373517176849	14.65975333205	20.2954309884635
"Smoc1"	17.3834859848304	220.123112052727	7.9370271255602	1.10686758588425	4.88658444401668	2.13636115668037
"Smyd1"	73.879815435529	164.504816836557	85.3230415997721	277.823764056946	546.320140841065	315.113270610355
"Sp100"	315.07568347505	590.650628070306	315.496828241018	35.4197627482959	68.4121822162336	40.5908619769271
"Stard10"	195.564217329341	193.488998850617	155.764157339119	370.800641271223	398.745290631761	427.272231336075
"Stc2"	644.275449312775	228.74003102988	607.182575105355	58.6639820518651	72.3214497714469	100.408974363978
"Tenm4"	243.368803787625	336.059840108967	280.772334566692	115.114228931962	129.00582932204	99.3407937856373
"Thrb"	235.763528669262	317.259289613361	208.346962045955	39.8472330918329	70.3668159938402	23.4999727234841
"Tmem45a"	2252.24790290958	3101.30747550443	2322.57256261705	907.631420425083	1591.07189497183	915.43075563754
"Tnfaip2"	820.283244909182	1030.11349590511	745.088421411964	275.610028885178	276.580679531344	284.13603383849
"Tnfsf13b"	330.286233711777	332.143058755716	317.481085022408	45.3815710212541	67.4348653274302	67.2953764354317
"Tor3a"	1362.43071406108	1294.8879153849	1348.30248295454	570.036806730387	348.902129302791	591.772040400463
"Trim30a"	801.8132910503	1009.7462328682	944.506227941664	294.42677784521	46.9112106625602	194.408865257914
"Trim30d"	453.057103479641	479.414037637967	490.111425003342	143.892786164952	102.61827332435	111.090780147379
"Tubb2b"	1389.59241091238	1099.83220399298	1429.65701099153	2370.91036896406	3022.84113706872	2611.70151404176
"Usp11"	141.240823626747	148.837691423552	141.874359869389	309.922924047589	438.815283072698	312.976909453675
"Wnt11"	112.992658901397	84.6024772302295	131.953075962438	361.945700584149	225.760201313571	396.294994564209
"Zdhhc15"	306.383940482635	112.803302973639	302.599159161983	53.1296441224439	38.1153586633301	59.8181123870504
"Zfhx4"	192.304813707186	319.609358425311	259.937638362096	84.1219365272028	23.4556053312801	81.1817239538542
