""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ODAPH"	124.530173908859	4.35680695442315	0.305008481484368	14.2842157477724	2.74482040254603e-46	0.00161409256823867
"ODC1"	20656.7350808089	1.33340113045946	0.0712667998329674	18.709990256117	4.10450062750451e-78	1.45973053846008e-05
"OIP5"	1654.20017377502	1.68082863915654	0.104592099921272	16.0703211850773	4.11946387429867e-58	0.000287304540018027
"OLR1"	375.646481005924	4.16118689454574	0.173636155375479	23.9649794453661	6.44992369469738e-127	1.02267039780377e-08
"OPA1"	2681.44347922434	-1.13905217063364	0.0826305317068037	-13.7848825017285	3.14277860048466e-43	0.00246834551407904
"ORC6"	1774.73037762874	1.18799872487522	0.0834141953043222	14.242164904199	5.01490633474813e-46	0.00166097939041769
"ORMDL1"	1209.17831629406	1.39690742738044	0.0962214696754619	14.5176272207436	9.36978148892152e-48	0.00130285281931176
"ORMDL2"	3453.05741611304	2.17552959964022	0.0956955660466614	22.7338599844785	2.07286830427829e-114	6.17112577850281e-08
"OSER1"	2890.14334401454	1.72936035929546	0.0943713458138807	18.3250577215049	5.22259775484463e-75	2.29976486465185e-05
"OSER1-DT"	554.525960576339	3.14283506108055	0.140323726684489	22.3970324572912	4.20683413868914e-111	9.93402371140369e-08
"OSGIN1"	1162.43572199143	-2.28888252208079	0.112803605536062	-20.2908631439892	1.54852611753958e-91	1.92029594892743e-06
"OSGIN2"	1288.86521217373	1.14787376100985	0.0899685204478327	12.7586155168066	2.7911781874528e-37	0.00606871139143936
"OST4"	7017.50089858472	1.91682164802081	0.0747066737161262	25.6579707363821	3.44508451764903e-145	6.01474832275456e-10
"OSTC"	4456.5947700972	1.16331209078946	0.0945676471782932	12.3013749998053	8.90452740756932e-35	0.00888872349923088
"OVAAL"	124.587016411502	4.05846251549342	0.293041243025883	13.8494584365893	1.28174794688076e-43	0.00234914013672875
"OXCT1"	1075.0954633869	1.59891759010317	0.100658388364504	15.8845935851185	8.10213727371176e-57	0.000345752413315909
"P2RX5-TAX1BP3"	2308.0114709133	1.46774765095282	0.0796512685459423	18.4271723193741	7.9532920014465e-76	2.04776541664163e-05
"PAIP2"	4462.62992615399	1.21033193385351	0.0738119361196825	16.397509637073	1.99239695489787e-60	0.000199764034541865
"PANX2"	1001.5749917564	-2.64926577469678	0.144320087805018	-18.3568747427318	2.90872672004087e-75	2.23909737967957e-05
"PAPOLA"	1894.95335921126	-1.18599007146154	0.0830361339082402	-14.2828190047014	2.80040178280594e-46	0.00161409256823867
"PAQR4"	835.289747613776	-2.35601518000665	0.123284546261437	-19.1103852952542	2.06935406876862e-81	8.68237268262787e-06
"PARD3"	664.473353661629	-1.79403017479529	0.126801508346186	-14.1483346546426	1.91232435746483e-45	0.00181213313821536
"PARL"	6542.89478196584	1.16208820958913	0.0774367714013362	15.0069300225123	6.61387587914378e-51	0.000832235059670585
"PARP1"	1439.08181306947	-1.62831413949675	0.129375627881291	-12.5859419286514	2.52315013578086e-36	0.00702466939407615
"PATL1"	753.527740640231	-1.75960715043456	0.139975571528825	-12.5708159732158	3.05553887566876e-36	0.00711413524338275
"PBX2"	325.213851558308	-1.99390211083528	0.15159730044805	-13.1526228035872	1.64372234935499e-39	0.00427563014082975
"PCBP1"	4735.07993837038	-1.32815864831026	0.0750006299241085	-17.7086332428701	3.59701173893521e-70	4.67532136259622e-05
"PCBP2"	7217.11713345044	-1.21879718911697	0.0916736098414283	-13.2949623258556	2.47597908739246e-40	0.00380819060817337
"PCID2"	3670.90889955007	2.23230704336986	0.0940177915945577	23.7434532922923	1.28389725500439e-124	1.38367862353069e-08
"PCLAF"	9206.91270836688	1.63306962073722	0.073079402315739	22.3465103570709	1.30557495888106e-110	1.06359229400929e-07
"PCMT1"	2821.33014840138	1.40709568645837	0.0816163826750863	17.2403583733918	1.3221467640308e-66	8.01948988790443e-05
"PCNA"	14498.9081572266	1.10989502512421	0.0669430266363012	16.5796959129773	9.77220331950771e-62	0.000164195041529956
"PCNA-AS1"	6268.47113402879	1.16839569055334	0.0750098911077303	15.576554948937	1.05066662646548e-54	0.000474731613359453
"PCSK9"	1150.90674877294	-2.84225925559518	0.122223576076805	-23.2545908639517	1.27825171546966e-119	2.87360634138608e-08
"PDAP1"	1707.85698435124	-1.45145795774991	0.100465767960704	-14.4472887353793	2.60749609555198e-47	0.00139111847369876
"PDCD10"	2163.88589765261	1.59399173766966	0.0899129825434252	17.7281599673307	2.54219029913479e-70	4.56813959992387e-05
"PDCD2"	2704.64922862045	1.06884140463025	0.0805729398843737	13.2655132872661	3.66900016818257e-40	0.00390408294182771
"PDCD6"	2172.52092684763	1.2866913134871	0.0807579650507211	15.9326861775055	3.75857739972336e-57	0.000330011287627989
"PDE6D"	807.498595012392	1.69086041271495	0.116039867384731	14.5713749146996	4.27205562699835e-48	0.00124885179662394
"PDGFA"	349.352350416391	-2.20933097367955	0.163273925315644	-13.5314378545651	1.02008675696318e-41	0.00310526238455666
"PDIA4"	2355.05126680304	-1.8074450322389	0.112284469489228	-16.0970171606172	2.67702622508435e-58	0.000278468254276693
"PDS5A"	1128.81888061879	-1.13908827536233	0.0931477440275683	-12.2288337442203	2.18046714742035e-34	0.00938174185710387
"PDZD11"	3767.92984776664	2.00857997140757	0.0843430839918854	23.8144003792986	2.36899669873506e-125	1.25230309178104e-08
"PEA15"	2527.49377225374	1.01378407832231	0.0802002778414097	12.6406554392117	1.25999209322858e-36	0.00669813988100462
"PEBP1"	5033.23485424022	1.03797755963756	0.0757562306924277	13.7015470562649	9.93839397695584e-43	0.00267291305296391
"PELI2"	531.476478791341	-1.63899674409167	0.133464676117604	-12.28037853737	1.15456780441202e-34	0.00902085560694493
"PERP"	13717.8922183097	1.13685040291871	0.070964518081319	16.0199834178538	9.26749870748591e-58	0.000302517091172747
"PEX3"	590.453260916715	1.75216150365105	0.133382138984627	13.1364027971766	2.0368155132487e-39	0.00433805996035989
"PFAS"	927.798059055659	-1.71103569819659	0.124030084942551	-13.7953279560287	2.71913469735943e-43	0.0024514677041912
"PFDN1"	2931.20615553578	1.32055220108963	0.0796491002371254	16.579624843949	9.78376633508812e-62	0.000164195041529956
"PFDN4"	2571.46748717737	1.48201357444807	0.0991369295887742	14.9491574995872	1.57732068610592e-50	0.000879504631303341
"PFDN5"	7172.71856029609	1.83192151206258	0.0902552945133746	20.2971085734046	1.36376963962926e-91	1.90872525972753e-06
"PFKP"	2822.84337302529	-1.28261842300598	0.0961420929014616	-13.3408623038877	1.33901644601675e-40	0.00367707572034723
"PFN2"	14351.9541002924	1.32249667228893	0.0728520072048578	18.1531947166549	1.21145582759951e-73	2.78987766923874e-05
"PGAM5"	1039.01660435421	-1.4846052111339	0.09948257328251	-14.9232690927478	2.32593118627923e-50	0.000898425745054278
"PGD"	9665.84297260612	-1.14931020386131	0.0690440198113038	-16.6460499693146	3.2324641656259e-62	0.000152686507778057
